,Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Bwd Segment Size,Init_Win_bytes_forward,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,29,0,0,0,29,0,29,29,0,0,0,0,0,0,0,0,0,32,32,34482,0,0,0,0,0,0,2,0,0,486,32,0,0,0,0,0,0,0,0,15
1,23276,1093,328,489,1369,2443,9315,30,23276,2116,3044,9874,44,3730,3937,10055,404,396,200,257,1093,127,296,87797,1,9,17,134,328,65535,32,0,0,0,0,1396990835755631,6667,1396990835763942,1396990835740927,15
2,31,0,0,0,31,0,31,31,0,0,0,0,0,0,0,0,0,32,32,32258,0,0,0,0,2,0,2,0,0,486,32,0,0,0,0,0,0,0,0,15
