Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.66-172.16.1.138-443-60531-6,10.0.1.66,443,172.16.1.138,60531,6,09/04/2014 02:30:35 AM,29,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,34482.75862068965,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,486,8192,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.1.138-10.0.1.66-60531-443-6,172.16.1.138,60531,10.0.1.66,443,6,09/04/2014 02:30:35 AM,23276,12,6,450.0,1971.0,139.0,0.0,37.50000000000001,49.434069959161484,1093.0,0.0,328.5,489.4097465314723,104012.71696167726,773.3287506444406,1369.1764705882354,2443.963027423239,9315.0,30.0,23276.0,2116.0000000000005,3044.2326126628363,9874.0,44.0,18653.0,3730.6,3937.723238116158,10055.0,404.0,0,0,0,0,396,200,515.552500429627,257.7762502148135,0.0,1093.0,127.42105263157895,296.3062071929183,87797.36842105264,1,2,0,9,17,0,0,0,0.0,134.5,37.5,328.5,0,0,0,0,9,132114,0,25,0,109,65535,486,6,32,0,0,0,0,1.3969908357556315E15,6667.188923891337,1.396990835763942E15,1.396990835740927E15,NeedManualLabel
10.0.1.66-172.16.1.138-443-60531-6,10.0.1.66,443,172.16.1.138,60531,6,09/04/2014 02:30:35 AM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,486,8192,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
